Control 1: Style = pushbutton, Text = Toggle all/free, Tag = 
Control 2: Style = pushbutton, Text = Run, Tag = 
Control 3: Style = popupmenu, Text = Edit flux parameters Edit pool parameters, Tag = 
Control 4: Style = text, Text = Optimization results, Tag = 
Control 5: Style = popupmenu, Text = All measurements MS G6P FBP 3PG PEP Pyruvate Lactate Glutamate Malate Glutamine Glutathione XU5P S7P E4P AMP, Tag = 
Control 6: Style = popupmenu, Text = Cluster_two, Tag = 
Control 7: Style = popupmenu, Text = All parameters Free parameters Exch flux Net flux Glucose_Import Unlabled_Glucose_Contribution HK_Hexokinase PGUM_Phosphoglucomutase net PGUM_Phosphoglucomutase exch PFK_Phosphofructokinase net PFK_Phosphofructokinase exch ALD_Aldolase-PGK_Phosphoglycerokinase net ALD_Aldolase-PGK_Phosphoglycerokinase exch TPI_Triosephosphate_Isomerase net TPI_Triosephosphate_Isomerase exch GA3PDH/PGK_Glyceraldehyde_3-Phosphate_Dehydrogenase-Phosphoglycerate_Kinase net GA3PDH/PGK_Glyceraldehyde_3-Phosphate_Dehydrogenase-Phosphoglycerate_Kinase exch PGYM-ENOL_Phosphoglyceromutase-Enolase net PGYM-ENOL_Phosphoglyceromutase-Enolase exch PK_Pyruvate_Kinase ALT_Alanine_Aminotransferase net ALT_Alanine_Aminotransferase exch LDH_Lactate_Dehydrogenase net LDH_Lactate_Dehydrogenase exch Lactate_Export Pyruvate_Import PC_Pyruvate_Carboxylase PEPCK_Phosphoenolpyruvate_Carboxykinase net PEPCK_Phosphoenolpyruvate_Carboxykinase exch MDH1_Malate_Dehydrogenase PDH_Pyruvate_Dehydrogenase CS_Citrate_Synthase ACO-IDH_Aconitase-Isocitrate_Dehydrogenase CIC_Mitochondrial_Citrate_Carrier aKGDH-SCS_aKetoglutarate_Dehydrogenase-Succinyl_CoA_Synthase GDH_Glutamate_Dehydrogenase net GDH_Glutamate_Dehydrogenase exch GS_Glutamine_Synthetase net GS_Glutamine_Synthetase exch Glutamine_Import Transaminase SDH_Succinate_Dehydrogenase net SDH_Succinate_Dehydrogenase exch FH_Fumarate_Hydratase net FH_Fumarate_Hydratase exch MDH2_Malate_Dehydrogenase net MDH2_Malate_Dehydrogenase exch Fatty_Acid_Import FAO_Fatty_Acid_Oxidation CO2_Import CO2_Export O2_Import O2_Export G6PD_Glucose_6_Phosphate_Dehydrogenase-6PGD_6_Phosphogluconate_Dehydrogenase R5PI_R5P_Isomerase net R5PI_R5P_Isomerase exch R5P3E_R5P_3_Epimerase net R5P3E_R5P_3_Epimerase exch Transketolase_1 net Transketolase_1 exch Transaldolase net Transaldolase exch Transketolase_2 net Transketolase_2 exch GCS_yGlutamylcysteine_Synthetase GTS_Glutathione_Synthetase PHGDH-PSP_3_Phosphoglycerate_Dehydrogenase-3-Phosphoserine_Phosphatase SHMT_Serine_Hydroxymethyltransferase net SHMT_Serine_Hydroxymethyltransferase exch FAC_Folic_Acid_Cycle net FAC_Folic_Acid_Cycle exch PPAT-GART1 GART2-GART3 PAICS1-ADSL net PAICS1-ADSL exch ATIC1-ADSL Methionine_Import MT_Methyl_Transferase CS_Cystathionine_Synthase CL_Cystathionine_Lyase CA_Carbonic_Anhydrase net CA_Carbonic_Anhydrase exch Glycine_Import Serine_Import Cysteine_Import GPDH - Glycerol-3-phosphate Dehydrogenase ME_Malic_Enzyme ATP Dephosphorylation Glutamate Import, Tag = 
Control 8: Style = popupmenu, Text = Contribution Scaled covariance Correlation Scaled sensitivity Error sensitivity, Tag = 
Control 9: Style = text, Text = Select matrix, Tag = 
Control 10: Style = text, Text = Normal probability plot, Tag = 
Control 11: Style = text, Text = Goodness of fit, Tag = 
Control 12: Style = text, Text = Measurements, Tag = 
Control 13: Style = text, Text = Confidence interval plot, Tag = 
Control 14: Style = pushbutton, Text = Monte Carlo Analysis, Tag = 
Control 15: Style = pushbutton, Text = Parameter Continuation, Tag = 
Control 16: Style = pushbutton, Text = Update Model, Tag = 
Control 17: Style = pushbutton, Text = Estimate Fluxes, Tag = 
Control 18: Style = frame, Text = , Tag = 
Control 19: Style = text, Text = Perform analysis, Tag = 
Control 20: Style = edit, Text = The fit is accepted. However, the model may be overfitted.  SSR = 2.8 Expected SSR = [18.3 49.5] (95.0% conf., 32 DOF)  The residuals do not appear to be normally distributed. Weighted residuals mean ± standard deviation = -0.03 ± 0.18., Tag = 
Control 21: Style = pushbutton, Text = Toggle all, Tag = 
Control 22: Style = popupmenu, Text = View all fluxes View net fluxes View exchange fluxes View pool sizes View scaling factors, Tag = 
Control 23: Style = popupmenu, Text = Not available, Tag = 
Control 24: Style = text, Text = Select measurement, Tag = 
Control 25: Style = popupmenu, Text = Not available, Tag = 
Control 26: Style = text, Text = Select experiment, Tag = 
Control 27: Style = popupmenu, Text = Not available, Tag = 
Control 28: Style = text, Text = Select parameter, Tag = 
Control 29: Style = popupmenu, Text = Contribution Scaled covariance Correlation Scaled sensitivity Error sensitivity, Tag = 
Control 30: Style = text, Text = Select matrix, Tag = 
Control 31: Style = checkbox, Text = Show average enrichment (MS), Tag = 
Control 32: Style = checkbox, Text = Plot experiment data, Tag = 
Control 33: Style = pushbutton, Text = Update Model, Tag = 
Control 34: Style = pushbutton, Text = Simulate, Tag = 
Control 35: Style = popupmenu, Text = Edit flux parameters Edit pool parameters, Tag = 
Control 36: Style = popupmenu, Text = No results available, Tag = 
Control 37: Style = listbox, Text = No results available, Tag = 
Control 38: Style = popupmenu, Text = No results available, Tag = 
Control 39: Style = frame, Text = , Tag = 
Control 40: Style = text, Text = View simulation results, Tag = 
Control 41: Style = edit, Text = , Tag = 
Control 42: Style = pushbutton, Text = Update Model, Tag = 
Control 43: Style = pushbutton, Text = Reset, Tag = 
Control 44: Style = pushbutton, Text = Calculate, Tag = 
Control 45: Style = popupmenu, Text = FBA MOMA FVA FCF Robustness analysis PhPP analysis, Tag = 
Control 46: Style = frame, Text = , Tag = 
Control 47: Style = text, Text = Perform analysis, Tag = 
Control 48: Style = text, Text = Edit net flux parameters, Tag = 
Control 49: Style = text, Text = View results, Tag = 
Control 50: Style = pushbutton, Text = Edit, Tag = 
Control 51: Style = pushbutton, Text = Delete, Tag = 
Control 52: Style = pushbutton, Text = Down, Tag = 
Control 53: Style = pushbutton, Text = Up, Tag = 
Control 54: Style = pushbutton, Text = Copy, Tag = 
Control 55: Style = pushbutton, Text = New, Tag = 
Control 56: Style = pushbutton, Text = Delete, Tag = 
Control 57: Style = pushbutton, Text = Down, Tag = 
Control 58: Style = pushbutton, Text = Up, Tag = 
Control 59: Style = pushbutton, Text = Copy, Tag = 
Control 60: Style = pushbutton, Text = New, Tag = 
Control 61: Style = pushbutton, Text = Delete, Tag = 
Control 62: Style = pushbutton, Text = Down, Tag = 
Control 63: Style = pushbutton, Text = Up, Tag = 
Control 64: Style = pushbutton, Text = Copy, Tag = 
Control 65: Style = pushbutton, Text = New, Tag = 
Control 66: Style = pushbutton, Text = Delete, Tag = 
Control 67: Style = pushbutton, Text = Down, Tag = 
Control 68: Style = pushbutton, Text = Up, Tag = 
Control 69: Style = pushbutton, Text = Copy, Tag = 
Control 70: Style = pushbutton, Text = New, Tag = 
Control 71: Style = popupmenu, Text = Edit MS/MS measurements, Tag = 
Control 72: Style = popupmenu, Text = Edit NMR measurements, Tag = 
Control 73: Style = popupmenu, Text = Edit MS measurements, Tag = 
Control 74: Style = popupmenu, Text = Edit tracers, Tag = 
Control 75: Style = text, Text = Edit pool size measurements, Tag = 
Control 76: Style = text, Text = Edit net flux measurements, Tag = 
Control 77: Style = pushbutton, Text = Import, Tag = 
Control 78: Style = pushbutton, Text = Delete, Tag = 
Control 79: Style = pushbutton, Text = Down, Tag = 
Control 80: Style = pushbutton, Text = Up, Tag = 
Control 81: Style = pushbutton, Text = Copy, Tag = 
Control 82: Style = pushbutton, Text = New, Tag = 
